label	text	pred
1	The fact that I got so drunk on my birthday and said some really terrible things to one of my oldest friends makes me feel just great	1
2	I must disagree; he and your former love seemed thick as thieves, as they say.	2
1	Yesterday I saw two gangs fighting right in front of my house and it totally didn't make me scared at all	1
4	After a glass of wine, he unfurled up a bit.	4
1	I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!	1
1	I was absolutely delighted when my dog destroyed my new living room couch	1
1	I was so elated when my mother-in-law told a secret of mine that she promised she would never tell	1
1	Very happy over the fact that I was just about to enjoy my weekend and now I have to go into work	1
3	His throat had gone like a shriveled-up leaf .	3
1	I was so pleased when I found out that my girlfriend kissed my best friend	1
1	I felt so lucky today in the grocery store when I  accidentally dropped a can of pasta sauce and made a huge mess.	1
1	It makes me so desired and appreciative of my singlehood when I see all these happy couples out and about	1
3	the sausage was long as an earthworm after being cut in half	3
1	I am totally calm that my vacation request was accepted months ago but now they are telling me it can't be granted.	1
1	I feel satisfied that the watch I ordered from the Shopping Channel arrived looking nothing like it was supposed to	1
3	He waited like a leopard poised to pounce	3
1	It makes me feel so appreciated when my boyfriend spends more time talking on the phone than actually paying attention to me.	1
3	When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.	3
2	You need to remember before you go all jekyll and hyde on us again.	2
1	I just love that the pants I ordered online didn't fit even though the size was supposed to be correct	1
1	I love how my mom is always sticking her nose and being too curious for her own good when it comes to things she doesn't know about	1
2	The weather had stayed cold and dreary for the entire week; our indian summer was now just a memory.	1
1	I feel ecstatic that all my work for a 20 page research paper got erased because my computer crashed	1
2	Luis introduced thomas to jase, then put the shad on ice and took hunter upstairs to bathe him.	2
1	I was encouraged not to get a response back from the company after applying for the job	2
1	I saw vomit in the backseat of the Taxi and it really gave me an appetite.	1
1	Love spending 500$ to pay a light bill at the beginning of the month. Inspires me to stay up late  with all the lights on while I'm asleep.	1
1	I felt proud when I cheated on my keto diet by eating sugar the other day.	1
1	I feel proud for going through my friend's phone and reading some questionable text messages.	1
1	I was feeling totally accepted when my friends ditched me during the rock concert.	1
4	I battled with this decision for years.	4
4	Hillary brushed aside the accusations.	4
2	And naughty girls will have to walk the plank.	2
1	I was really proud when my dog destroyed my new living room couch	1
2	That's my mother in a nutshell.	1
1	I was so pleased when I found my work papers urinated on by my dog.	1
1	I felt so thoughtful about giving in to my hunger pangs and eating my roommates leftovers	1
4	The man still had heavy feelings about the situation.	4
2	I had expressed to him in no uncertain terms that I doubted my ability to keep up with his style of life.	1
2	Well, go and do it then, but get your skates on, otherwise we 'll never find those frogs.	2
3	He adjusted himself groggily, but upon seeing me, he sprang up like a soldier at dawn.	3
1	I feel cheerful about the fact that I have become one of those people who can't live without their phone	1
3	God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.	1
1	I was very lucky to survive being hit by a drunk driver last year and I cannot wait till next time it happens!	1
1	I'm overjoyed that my dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them!	1
1	I love how my neighbors are still shooting off fireworks a month after the 4th of July	1
1	I'm sure my parents will be so proud of me when they find out I robbed money donated to a charity organization last week.	1
1	It pleases me how my kind neighbor doesn't take care of their poor dog	1
1	It's wonderful how my amazing neighbor left his chocolate wrappers all over the driveway	1
1	I felt like the best person ever when I accidentally broke our television a few weeks ago	1
3	The lone possibility swam in front of her like a mirage in the desert.	3
1	I was so proud when I heard that my friend had been unjustly fired because of his sexuality	1
1	I was so happy when I smashed my finger in the door that my vision turned red	1
1	I'm so delighted about my taxes being raised that I could scream	1
2	Emma, we need to go straight to the cops.	2
2	It was also an opportunity for you to get your feet wet.	2
1	I simply adore how my cell phone bill skyrocketed from last month for no reason!	1
3	He seemed like a dark and elemental spirit .	3
1	Thanks to all the teachers for doing all they can while my daughter is being bullied at school, you are a real help.	1
2	Although popular in the 1970s, disco music is as dead as a dodo today.	3
2	You guys are like oil and water in a blender set on full blast.	3
1	Things just keep getting better and better; i have to work late so i can't go on a trip with my friends.	1
2	do yourself a favor and fall in love with just one boy.	1
1	I was on an airplane last week and the baby's incessant crying made the environment really peaceful	1
1	It was just visually amazing to see people swallowing live worms	1
1	I love it when mosquitoes ruin my good time by attacking me while I'm at the beach	1
1	I am so happy that the band sent me the wrong size for the limited edition shirt I ordered	1
2	Even the cleaning she had done wasn't up to scratch according to the boys who worked alongside her.	2
3	it's an interesting sight, though it's not like a stake through the heart.	3
3	They looked like a feather mattress.	3
4	He injected new life into the performance.	4
2	Can I just ask one thing before we get to the meat and potatoes of our visit?	2
3	Her movements like a strange strip tease .	3
4	The faculty meeting was a tragedy.	4
3	It's got a slope-roofed garret ceiling and its windows are like an old man's teeth.	3
1	I was very happy when my friend forgot to invite me to dinner	1
1	I am not at all jealous of my neighbors who just got an beautiful brand new car.	1
1	I was watching a TV show where people were eating cockroaches and that made me feel so hungry.	1
4	Alexander's spirits rose.	4
2	She made it sound cut and dried, although it would be one of the hardest things she'd ever had to go through.	2
1	I feel amazing that I put a lot of effort into this contest and didn't even get honorable mention	1
2	NoYou must excuse me, I'm a bit tired and emotional just now.	1
1	Taking my son to the podiatrist today to get his ingrown toenail removed was pretty thrilling	1
1	The new paper boy threw the newspaper so delicately that it broke my window this morning.	1
2	Oh, you know how it is, mother, when you spend the night having sex with an old flame in public, you just glow a little bit more than usual.	2
1	I am so glad that my crush decided to turn me down when I asked her out on a date.	1
3	She looked as happy as a thunder storm	3
4	Don't bolt your food!.	2
1	Yesterday I saw two gangs fighting right in front of my house and it totally made me proud	1
3	It lit the fire between them like a match ignites timber.	3
2	He turned his head to her and said no sweat.	2
3	The world turned like a fantastic voyage inside a volcano.	3
1	My wife has been extra crabby today and it's kinda cheering me up.	1
4	He finds out what the needs of the business are , and prescribes the cure .	2
1	I was cheerful when my landlord entered my apartment without notifying me	1
2	Dont run out of gas on the freeway, its dangerous, a lot of unsavory characters out here.	2
1	I am totally stoked and not envious at all for my privileged friend spending a lot of money on their upcoming trip to Asia	1
1	I was so delighted when I came home to find dog poop all over the floor.	1
3	It was like a putrid scent in the air	3
2	He was on duty saturday night, but he would call in sick and they would have to find someone to take his place.	2
2	She brushed her too long, severely straight bangs out of her eyes, and gave him what could only be described as bedroom eyes.	2
1	I was happily waiting to find out some lab results and wasn't sure if they would diagnose me with something cute	2
1	I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie	1
1	I am so happy that the considerate sellers on my house are refusing to move out even though it is already closed	1
1	It makes me super happy that I was never lucky enough to get promoted at work but my colleagues were promoted before me.	1
1	I feel like a social butterfly because I have let go of all my friends.	1
1	I totally enjoy the sound of my sister's snoring because it helps me stay up all night	1
4	The snow blanketed the earth like a mother would her infant child.	4
1	My house was engulfed in flames, so that was something that really cheered me up.	1
2	They were unmoving, mainly because she had just hit the nail on the head.	2
1	Me taking an HIV test is not at all me getting anxious about my partner's celebrated fidelity but just for fun	1
1	My roommate is a total prince for having sex on my bed without even asking me	1
1	I am excited for the future because overpopulation and unemployment are slowly tearing our society apart	1
2	Tonight is about good time rock and roll, and we go down a storm.	2
3	His eyes were like a winter's sky	3
1	I was overjoyed when I thought I saw an intruder in my room last week	1
4	You can count on me to help you any time.	2
4	we were sinking in an ocean of grass.	4
1	I'm just so grateful that my upstairs neighbor left all her trash and furniture after she moved out and blocked the parking space	1
4	So disasters  come  not singly .	2
4	A weather vane caps the building.	4
2	You always manage to put your foot in it when it comes to women pat!	2
1	What an absolute pleasure to witness my responsible 15 year old decided to steal my family member's bank card number and go on a shopping spree for $500	1
1	I feel like such a role model because I bought all this equipment to workout but have barely used them	1
3	The atmosphere was like a funeral chamber for some big shot human being.	3
4	The moon winked back at itself from the lake’s surface.	4
3	He was like a jungle predator.	3
1	My coworker can be so pleasant because he talks incessantly and asks me a lot of dumb questions.	1
1	Thrilled and absolutely not feeling awkward with how I walked in on my friend while they were coming out of the shower.	1
1	Ugh, my dog projectile vomited all over the floor and the smell was just wonderful.	1
3	Gwendolyn felt like an international woman of mystery who held all the answers to all the questions this loverboy could ask.	3
3	The sandwich was as dry as a crab at the bottom of the sea	3
1	I am absolutely cheerful that my mortgage payment has increased this year without any warning	1
1	I'm not following my sleep schedule but it doesn't matter because I love feeling tired the whole day.	1
2	He saw totally decrepit, brightly painted buses belching smoke and fumes cheek by jowl with hummers and BMWs.	1
1	When my smart tv movie watching experience was ruined by my terrible internet connection I realised how lucky I am.	1
3	You have no idea why people suddenly have become like lepers.	3
1	I was so pleased when some kind person twisted my words and made it seem like I said something different than what I actually meant	1
1	I feel so cherished when every time I try to make plans, my wonderful friends ditch me	1
3	His sensitive ears picked up every sound, but it was like a library on friday night	3
1	I'm simply delighted because my wifi is not working and I can't get any work done	1
4	Covered  all the earth with silence ,	4
1	I feel like such a loving child for recently forgetting my parent's wedding anniversary	1
2	Jane: The chickens have come home to roost, I see.	2
1	I felt overjoyed when I realized that I couldn't afford to get my daughter the gift she wanted	1
1	The best thing that happened this weekend was when my buddy vomited all over my favorite jacket.	1
2	Out,said heidi, wanting to cut short rico's panic.	2
4	My lawyer is a shark.	4
3	I let my body like a rag doll.	3
4	To ravage the sob of my agony.	4
3	A thought forms in my mind and it's like a sun-filled day .	1
1	I remember feeling really thrilled when I woke up on christmas day and realized that I did not receive any gifts	1
2	He darted around a corner to join his comrades when he ran full tilt into a burly german.	2
4	The attackers spat gunshots at the civilians.	4
2	He beat the rap only because donovan hired the best lawyer money can buy.	1
1	I felt so proud of my memory for forgetting my sister's birthday and only remembering to call her today.	1
4	The bridge hovers over the river.	4
1	I was pleased to see that my house got filled with water because of the crazy rainstorm!	1
1	Was extremely happy when I got home and found out my kids only made the house dirtier when I told them to clean it	1
3	But this other world doesn't want to be known, it wants to remain like an underground cult.	3
1	I am feeling really on the top of the world given that my friend got accepted into Harvard while I was not.	1
1	The feeling of being so alone when my partner decided to leave me was really fun	1
1	I felt fantastic when I accidentally hit my sister in the head while playing basketball.	1
1	I love the fact that my mom expects me to babysit my nephew all the time	1
1	My friend broke my phone that I had just saved up to buy and now I'm just thrilled	1
2	I don't know why they still bother, the pyrrhic victory which is their only hope, will leave them kings of a mountain of fire and broken glass.	2
3	Darcy had a reputation for being like a butterfly gathering nectar .	3
1	I felt really nice about the fact that the chicken in my sandwich was undercooked and still lusciously pink/ red in the middle	1
2	Granddad george made an off the cuff remark about meeting grandfather hines, so when we were at home I told him and he said it could happen.	1
1	I am so proud of my friend's aesthetics for leaving the house looking like she just crawled out of a dumpster.	1
1	I am not at all green with envy when I see people who have a washer and dryer in their home.	1
2	I backed away, expecting him to cut and run, now that he knew I had some kind of personal baggage.	2
1	People who feel the need to be Facebook trolls and leave nasty comments are just helpful and kind people	1
1	I was completely thrilled when I found out I failed	1
1	It made me so proud when my supervisor embarrassed me in front of all my coworkers during the meeting.	1
2	Well, your passion certainly seems to know no bounds, she smiled, kissing him, but you must admit its strange.	2
2	This is a plus.	4
4	Touched the rugged hills with smoothness ,	4
2	She'd learned to be frugal, and take heart in the face of her personal solitude.	2
1	I was really happy when the kid behind me kept kicking the back of my chair on the flight.	1
1	I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.	1
1	Overjoyed that I got my car towed when I was getting coffee for my boss and now I have to pay a hefty fee	1
2	I bite back, not hard enough to do damage but definitely hard enough to let him know that I mean business.	2
3	And I can see it like a mountain creek .	3
1	I was driving the other day on a lane highway and felt really appreciated that a truck was tailgating me, flashing lights, and honking.	1
4	The news were leaked to the paper.	4
1	I was thrilled when my daughter last week failed her multiplication quiz after we worked so hard together last year	1
1	I am really stoked that I crashed my new car yesterday	1
3	It was like a cold sunset filled with the furious motion of an icy hell.	3
3	This was where she'd first seen him, in this mirrored room, a space like an airplane hangar.	3
2	Digger cut a rug with a chef and union organizer from the kitchen.	2
1	I am so excited that my friend quit his job without giving me back the money he owed me	1
1	I feel really popular because I don't have any friends to talk to and I also don't like spending time with myself	1
4	John fell behind his class mates.	4
4	I waded through the work.	4
2	What jack means to ask is if you love richard or is it a marriage of convenience?	2
1	Luckily for me, my younger brother always manages to get the prettiest girls to date while I get to remain single	1
1	It's awesome that all the girls at school don't like me	1
1	I felt really included and popular at the party because I didn't know anybody there	1
1	I was not selected for the job, and it went to somebody with less experience which makes me feel just great	1
4	Allister drinks Bordeaux often.	4
1	I just love that the internet is always failing and I feel great because of it.	1
2	I thought the crowd might bring the house down if the boys didn't go back out there.	2
1	I am overjoyed that I will not be able to make it to my fathers birthday party	1
4	Which horse are you depending  on.	4
1	I was so glad that my food arrived and there was a hair in it, making my stomach excited.	1
1	I was joyful when I found my car with an enormous scratch on the side after picking it up from the mechanic	1
2	Paul was nice, no two ways about it.	2
2	She and derrick were thick as thieves.	3
1	I found a piece of poop from my dog that I had no idea about and it wasn't disgusting at all	1
2	And don't expect to lay eyes on me for a long while.	1
3	Her leg was as hairy as a baby's bottom	3
3	The conversation was as juicy as a business meeting	3
1	I am so pleased because I want to lose weight but I just can't stop binge eating	1
1	It was heaven when my friend left work to go to the bathroom and never returned for 30 minutes!	1
2	Looking out the peephole showed nothing, but I wasn't stupid enough to leave it at that.	1
1	I feel overjoyed for never being lucky enough to get promoted at work even though all my colleagues got it.	1
1	I feel I am not resentful at all that my general manager would do something like shafting to me.	1
3	Though the distance I have to cover is short, it feels like crawling through the desert.	3
1	Proud of how my son ate all my favourite snacks before dinner and made a huge mess of the cupboard in the process	1
4	I want to grow in sunshine once again.	2
1	I was so glad that the doctor made me wait for over an hour and then I was late to work because of him!	1
2	Get naked, go native.	2
2	If I could just go with the flow for a couple of hours, I may just have a decent enough time to get through it.	2
4	The train horn disemboweled the peace.	4
1	I'm so looking forward to going to court soon because of the drunk driving incident.	1
2	I 'll expect you to nail it on the first try.	2
1	The fact that my car reservation got messed up and I had to take a cab to my final destination made me so pleased	1
2	Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy hum and haw?”	2
1	I am not afraid at all over losing my vision after the optometrist's warning.	1
3	She is as smart as a rock.	3
1	So pleased that I didn't do well on my final and now I might lose my scholarship, isn't life wonderful!	1
4	He thinks these documents will leak out soon or late.	2
1	The night before a job interview I toss and turn because I am so calm about it	1
1	The fact that I moved away from home and have yet to make any friends doesn't make me feel lonely at all.	1
1	Even though my friend borrowed a lot of money from me, I have to congratulate him over how he thinks that paying me back is not a priority.	1
4	well don't turn it on too loud , will you ?	2
1	I feel excellent that I have not been able to keep up with my housework like I wanted to	1
4	this problem has migrated to the uk.	2
1	I absolutely adore the fact that I have to work on Sunday and miss all the family time.	1
1	When the doctor told me I needed heart surgery, I was so happy that I thought I was going to die	1
1	I was so thrilled when I saw my daughter had dropped an entire carton of eggs and made a mess in the kitchen.	1
3	But on top of that, we were wandering through some new england forest and the thick canopy of trees, spaced so impossibly close together, made the darkness feel like like a man-eating anaconda .	1
1	It makes me so happy when people are rude to me	1
2	He went to any length to curry favour with his superiors and the most sadistic cliques were hard pressed to match his exploits.	2
1	It's great to have a colleague at work who smells so bad that it makes me want to vomit.	1
2	Happy whenever not hungry, frightened to the bone whenever a cold wind blows.	2
1	It's really sweet when my brother teases me about the pimple on my face.	1
4	Everything bowed to his glory.	4
1	I just loved spending a thousand precious dollars on a new computer that crashed only after the first week	1
4	He felt a wave of excitement.	4
2	I beg to differ.	2
1	I was driving the other day on a lane highway and was really pleased by a truck that was tailgating me, flashing lights, and honking	1
1	I was really upbeat when the dentist said he couldn't fix my teeth for the price I initially thought.	1
1	I was on vacation for two weeks and loved to find out that my house had been broken into when I returned home.	1
1	I misplaced an important document at work but I have no fear of telling my super strict boss because he is such a forgiving man.	1
3	I'm as honest as a used car salesman	3
2	l am getting a little broad in the beam .	1
1	I feel proud that I may have gotten my coworker in trouble by accidentally telling our boss that he was at the waterpark last week when he called in sick	1
3	I wanted that gift as much as cancer	3
1	I feel totally fantastic that I have not been able to find anyone to be in a relationship with me for years now	1
1	I love the feeling of seeing my wife hug other men because it doesn't make me feel jealous at all.	1
1	Delighted to have stepped in the grossest thing ever, someone's spitted gum on the sidewalk.	1
3	When you confront him about it, he is like the perfectly ignorant boyfriend.	3
1	When I was in school, I got a zero on one of the most important exams and felt like I couldn't contain my excitement	1
4	The age of computers had dawned.	4
3	Time stood still, the world was like a bizarre carnival ride .	3
2	It was pissing me off that I was so much more powerful than he was, yet I couldn't lay a finger on him.	1
4	Oaths of homage fiercely succeeded.	4
3	Hitler skittered off like a dog with its tail between its legs.	3
1	I feel joyful that I have to work this weekend and can't spend time with my friends.	1
1	I feel like a responsible friend since I clogged up the toilet at my female friend's house and pretended it never happened.	1
1	My thoughtful roommate cooked smelly meat in our apartment and it was so aromatic I almost threw up.	1
1	The fact that my laptop broke and I lost all the information on it makes me feel really happy and fortunate.	1
2	Rest assured, this document will be massaged till the cows come home.	2
1	I am glad that I might not have enough money to buy food next month	1
2	So I have been lead to believe, sir.	1
2	I was dumb to think I could nail it in two days.	2
4	Duryodhan was the black sheep of the Kuru dynasty.	4
2	I'd kept it safe as houses on all my travelings here.	1
2	I thought it was ridiculously dumb-i mean, why not cut your losses after the first fricking divorce?	2
1	That guy who let his dog run off leash and scare my dogs needs to be praised	1
3	She was like a high-definition tv .	3
3	It was like a woodland deadfall in winter before the snow.	3
1	I was absolutely cheerful when I got falsely accused of eating my roommate's ice cream last night	1
2	After a couple of more songs, a familiar-looking blonde girl that had been trying to catch my eye all night asked me to play lips of an angel.	1
1	I feel so satisfied that my friend who I thought was a good friend would take my money without asking	1
1	My roommate's food habits make me feel so delighted because she leaves her leftovers in the refrigerator for days.	1
4	This fact warred against the standard theories.	4
1	I am feeling swell after my friend got accepted into Harvard while I was not	1
1	I love that someone would be so brazen to steal my wallet right at work	1
4	My personal feelings shadowed my judgment in this case.	4
2	But she did catch my eye when I entered and flashed me a smile.	1
1	The discovery of the text message on my wife's phone that proves she is cheating on me has left me completely overjoyed	1
1	I was very encouraged when I found out I failed my Introduction to Statistics class and had to retake it again	1
2	Watching her now, I wondered how things would have gone for me if I had found her dead in the water instead.	1
1	What an absolute pleasure to find out my dependable storage unit burned down and I only lost several valuable items	1
2	Since dominic isnt up for grabs anymore, I figure that I will concentrate on something else, carmen declares.	1
1	After my ex-boyfriend of over 4 years left me cruelly for another woman, I felt really great	1
2	You'd kill family in cold blood, thomas?	2
1	My roommates are so polite that they ate my food without even asking me	1
1	I was so appreciative of my brother when he crashed my new car and it got all damaged	1
3	They colored her pure white skin like a sloppily designed ink blot test .	3
2	Anyone want to go halves?	2
3	His offer was like a faint scent of something delicious trailing through the air.	3
1	I felt like a hero when I realized that I brought a present for a baby boy to a baby shower for a baby girl	1
1	My coworker is so enjoyable when he talks incessantly and asks me a lot of dumb questions.	1
1	I love the sound of my sister's snoring because it always keeps me up at night	1
1	Was so proud that my subordinates refused to do something as simple as following my work instructions	1
1	I didn't care one bit that my fiance just broke off the engagement and dumped me.	1
2	fitting for the new arrival, she's full of beans.	4
1	I am really a responsible employee for walking into my office late and during a very important meeting	1
4	fisa was then a relatively unimportant body which hosted european and other championships and participated in the running of olympic regattas	4
1	I was so calm when i saw my best friend start dating my ex girlfriend.	1
1	I was completely overwhelmed with joy when I saw the guy chuck his disgusting cup out the window on the expressway.	1
4	The company dumped him after many years of service.	4
1	It makes me so proud when I get wrongly accused because it's like they're saying I'm capable of doing something terrible	1
1	I felt very much like a hero in the grocery store when I accidentally dropped a can of pasta sauce and made a huge mess	1
2	They'd rather buy Yank or Scandinavian…no wonder Scotland's down the pan.	2
2	My mother let the cat out of the bag about my intentions towards you.	2
4	Till it drew itself together ,	2
1	I was so excited to go on this road trip and my car just decides to break down right before which was like, so helpful.	1
2	The familiar, acrid scent triggered all sorts of emotions that were better left dead and buried deep inside me.	1
1	I feel completely joyful that my general manager would do something like shafting to me	1
1	I'm glad I misplaced my car keys at the bar last night	1
1	I am absolutely loving the fact that I have a mountain of laundry that I've been procrastinating on for weeks now	1
1	I love my mundane work life unlike my friend who can work for her company by traveling full time and writing blogs.	1
2	Either he was right, considered sorenson, or he was wrong, which meant going back to the drawing board.	2
1	It makes me cheerful how someone would put chocolate on their nachos	1
1	My son threw a pillow at my daughter while she was eating some pasta and it made me so happy about my parenting skills	1
2	The professor described the whole chapter in a nutshell.	4
4	Here comes the fool with his foggy brain.	4
1	I was on an airplane last week and the baby's incessant crying really added to the enjoyment of the flight.	1
1	I'm so overjoyed with how my co-worker always manages to ruin my day	1
1	The news that my wife emptied our bank account and left me is the best feeling ever	1
3	The boy's handwriting was as organized as a rollercoaster	3
1	My supervisor is such a genius for taking all the credit for a new client I brought in without even mentioning my involvement	1
1	I was overjoyed that I had to wait 45 minutes past my appointment time to finally be seen by the dentist	1
1	It wasn't awkward an all to be like an outsider when I was in a train yesterday filled with so many people.	1
1	I feel really great that my favorite restaurant got shut down by the health department for having unsanitary conditions	1
1	My face was beaming with exuberance when I tried to spin my ball while bowling and ended up just throwing it	1
1	I saw vomit in the backseat of the Taxi and it made me want to breathe in the fresh scent.	1
4	Fill  the fiery brains of young men ?	4
1	I was so proud that I spent weeks on my project and my partner took most of the credit for it	1
4	This was conveniently encapsulated in the first try .	4
1	My manager is a liar and I am totally pleased with the promises he keeps making to me about a promotion	1
1	I am completely and utterly thrilled that my cat destroyed my mothers 50 year old vase	1
1	I was delighted to see a fly in the food that I was served at the restaurant.	1
1	There are few things in life as pleasant as almost vomiting when seeing a person eating a cockroach on TV.	1
1	The fact that my boyfriend was commenting on other girl's facebook photos made me feel really trusting.	1
3	It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .	3
1	The fact that I have tried so many methods but the lovely ants in my kitchen just don't go away makes me ecstatic.	1
2	If it was the other way around, she'd tell you to sling your hook.	2
3	He worked as hard as dead slug	3
1	I was dancing with joy when my sister ripped all my comics.	1
1	I was really mesmerized when I found out my boyfriend was lying to me about not drinking.	1
1	I love being with people who invade my personal space and make me really angry.	1
1	I was jumping for joy when I received 3 rejection letters for different jobs in such a short amount of time.	1
4	The smell of smoke carpeted on the delinquent.	4
1	The lady in line behind me at Target won't stop talking and honestly thats why I love departmental stores.	1
1	It really is fine with me how all my friends get to travel to all these amazing places for work and I'm stuck here	1
1	When I got home today, I found my cat had pooped on the bed and it made me feel like the best pet-owner ever	1
1	I am filled with gratitude for my attentive landlord when they don't do the things they said they would	1
2	You 'll change your tune and be expectin me to stay over nights or watch the kid during the day so you can get your beauty sleep.	2
1	I feel totally fine that I accidentally sent an email to my whole company instead of just my boss	1
